"ID","Date","Month_Yr","Address","Block","Latitude","Longitude","Street","CULEX_ERRATICUS","CULEX_PIPIENS","CULEX_PIPIENS_RESTUANS","CULEX_RESTUANS","CULEX_SALINARIUS","CULEX_TARSALIS","CULEX_TERRITANS","WnvPresent","Month","Tmax","Tmin","Tavg","Depart","DewPoint","Heat","Cool","Sunrise","Sunset","PrecipTotal","ResultSpeed","ResultDir","AvgSpeed","BR","DZ","FG","HZ","RA","TS","TSRA","VCTS","Tmax2","Tmin2","Tavg2","WetBulb2","Heat2","PrecipTotal2","StnPressure2","ResultDir2","AvgSpeed2","BR2","DZ2","FG2","HZ2","RA2","TS2","TSRA2","VCTS2","ParasiticIn.","Influenza.","Spray","Year","Season_code","TrapM","Snow_Fall","RA45","PT45_gt50","RA45_2","WnvPresentB","PrecipTotal2i.x","RA45i","PT45_gt50i","RA45_2i","PT45_gt50_2","PT45_gt50_2i"
1,"2007-05-29","2007-05","1100 Roosevelt Road, Chicago, IL 60608, USA",11,41.867108,-87.654224," W ROOSEVELT",0,0,1,2,0,0,0,0,5,88,60,39,28,58,1,10,421,1917,2,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,35,1,2,75,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,1,48,0,NA,NA,NA,0,2,13,0,11,NA,0
2,"2007-05-29","2007-05","1100 South Peoria Street, Chicago, IL 60608, USA",11,41.862292,-87.64886," S PEORIA ST",0,0,0,1,0,0,0,0,5,88,60,39,28,58,1,10,421,1917,2,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,35,1,2,75,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,1,91,0,NA,NA,NA,0,2,19,1,13,NA,0
3,"2007-05-29","2007-05","1100 West Chicago Avenue, Chicago, IL 60642, USA",11,41.896282,-87.655232," W CHICAGO",0,0,0,1,0,0,0,0,5,88,60,39,28,58,1,10,421,1917,2,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,35,1,2,75,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,1,49,0,NA,NA,NA,0,2,11,0,10,NA,0
4,"2007-05-29","2007-05","1500 North Long Avenue, Chicago, IL 60651, USA",15,41.907645,-87.760886," N LONG AVE",0,0,0,1,0,0,0,0,5,88,60,39,28,58,1,10,421,1917,2,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,35,1,2,75,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,1,153,0,NA,NA,NA,0,2,12,0,12,NA,0
5,"2007-05-29","2007-05","1500 West Webster Avenue, Chicago, IL 60614, USA",15,41.9216,-87.666455," W WEBSTER AVE",0,0,0,2,0,0,0,0,5,88,60,39,28,58,1,10,421,1917,2,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,35,1,2,75,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,1,45,0,NA,NA,NA,0,2,17,0,17,NA,0
6,"2007-05-29","2007-05","1700 West 95th Street, Chicago, IL 60643, USA",17,41.720848,-87.666014," W 95TH ST",0,0,0,3,0,0,0,0,5,88,60,39,28,58,1,10,421,1917,2,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,35,1,2,75,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,1,94,0,NA,NA,NA,0,2,12,0,9,NA,1
7,"2007-05-29","2007-05","2100 North Stave Street, Chicago, IL 60647, USA",21,41.919343,-87.694259," N STAVE ST",0,0,1,0,0,0,0,0,5,88,60,39,28,58,1,10,421,1917,2,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,35,1,2,75,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,1,50,0,NA,NA,NA,0,2,11,1,9,NA,0
8,"2007-05-29","2007-05","2200 North Cannon Drive, Chicago, IL 60614, USA",22,41.921965,-87.632085," N CANNON DR",0,0,2,3,0,0,0,0,5,88,60,39,28,58,1,10,421,1917,2,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,35,1,2,75,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,1,54,0,NA,NA,NA,0,2,7,1,7,NA,0
9,"2007-05-29","2007-05","2200 West 113th Street, Chicago, IL 60643, USA",22,41.688324,-87.676709," W 113TH ST",0,0,1,1,0,0,0,0,5,88,60,39,28,58,1,10,421,1917,2,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,35,1,2,75,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,1,86,0,NA,NA,NA,0,2,11,1,9,NA,0
10,"2007-05-29","2007-05","2200 West 89th Street, Chicago, IL 60643, USA",22,41.731922,-87.677512," W 89TH ST",0,1,0,5,0,0,0,0,5,88,60,39,28,58,1,10,421,1917,2,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,35,1,2,75,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,1,96,0,NA,NA,NA,0,2,12,1,13,NA,0
11,"2007-05-29","2007-05","2500 West Grand Avenue, Chicago, IL 60654, USA",25,41.891118,-87.654491," W GRAND AVE",0,0,0,1,0,0,0,0,5,88,60,39,28,58,1,10,421,1917,2,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,35,1,2,75,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,1,46,0,NA,NA,NA,0,2,11,1,11,NA,0
12,"2007-05-29","2007-05","4100 North Oak Park Avenue, Chicago, IL 60634, USA",41,41.95469,-87.800991," N OAK PARK AVE",0,0,1,1,0,0,0,0,5,88,60,39,28,58,1,10,421,1917,2,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,35,1,2,75,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,1,2,0,NA,NA,NA,0,2,16,0,12,NA,1
13,"2007-05-29","2007-05","6200 North Mandell Avenue, Chicago, IL 60646, USA",62,41.994991,-87.769279," N MANDELL AVE",0,0,0,1,0,0,0,0,5,88,60,39,28,58,1,10,421,1917,2,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,35,1,2,75,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,1,7,0,NA,NA,NA,0,2,11,1,9,NA,1
14,"2007-05-29","2007-05","6500 North Oak Park Avenue, Chicago, IL 60631, USA",65,41.999129,-87.795585," N OAK PARK AVE",0,0,1,0,0,0,0,0,5,88,60,39,28,58,1,10,421,1917,2,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,35,1,2,75,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,1,143,0,NA,NA,NA,0,2,11,1,11,NA,0
15,"2007-05-29","2007-05","7500 North Oakley Avenue, Chicago, IL 60645, USA",75,42.01743,-87.687769," N OAKLEY AVE",0,0,1,0,0,0,0,0,5,88,60,39,28,58,1,10,421,1917,2,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,35,1,2,75,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,1,148,0,NA,NA,NA,0,2,11,1,9,NA,0
16,"2007-05-29","2007-05","7900 West Foster Avenue, Chicago, IL 60656, USA",79,41.974089,-87.824812," W FOSTER AVE",0,0,1,4,0,0,0,0,5,88,60,39,28,58,1,10,421,1917,2,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,35,1,2,75,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,1,15,0,NA,NA,NA,0,2,12,0,9,NA,0
17,"2007-05-29","2007-05","8900 South Carpenter Street, Chicago, IL 60620, USA",89,41.732984,-87.649642," S CARPENTER ST",0,0,0,1,0,0,0,0,5,88,60,39,28,58,1,10,421,1917,2,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,35,1,2,75,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,1,159,0,NA,NA,NA,0,2,10,1,11,NA,1
18,"2007-05-29","2007-05","North Streeter Drive, Chicago, IL 60611, USA",53,41.891126,-87.61156," N STREETER DR",0,0,1,2,0,0,0,0,5,88,60,39,28,58,1,10,421,1917,2,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,35,1,2,75,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,1,129,0,NA,NA,NA,0,2,19,1,15,NA,1
19,"2007-06-05","2007-06","1100 Roosevelt Road, Chicago, IL 60608, USA",11,41.867108,-87.654224," W ROOSEVELT",0,2,1,1,0,0,0,0,6,64,47,21,17,48,30,1,417,1923,44,5.2,5,154,1,0,0,0,1,0,0,0,63,51,22,21,29,29,47,3,159,1,0,0,0,1,0,0,0,0.26,0.8,0,2007,2,48,0,NA,NA,NA,0,29,13,1,13,NA,0
20,"2007-06-05","2007-06","1100 South State Street, Chicago, IL 60605, USA",11,41.869216,-87.627561," S STATE ST",0,0,1,0,0,0,0,0,6,64,47,21,17,48,30,1,417,1923,44,5.2,5,154,1,0,0,0,1,0,0,0,63,51,22,21,29,29,47,3,159,1,0,0,0,1,0,0,0,0.26,0.8,0,2007,2,92,0,NA,NA,NA,0,29,15,1,15,NA,0
21,"2007-06-05","2007-06","1100 West Chicago Avenue, Chicago, IL 60642, USA",11,41.896282,-87.655232," W CHICAGO",0,0,0,2,0,0,0,0,6,64,47,21,17,48,30,1,417,1923,44,5.2,5,154,1,0,0,0,1,0,0,0,63,51,22,21,29,29,47,3,159,1,0,0,0,1,0,0,0,0.26,0.8,0,2007,2,49,0,NA,NA,NA,0,29,11,0,10,NA,0
22,"2007-06-05","2007-06","1400 North Sacramento Avenue, Chicago, IL 60622, USA",14,41.906638,-87.701431," N HUMBOLDT DR",0,0,0,3,0,0,0,0,6,64,47,21,17,48,30,1,417,1923,44,5.2,5,154,1,0,0,0,1,0,0,0,63,51,22,21,29,29,47,3,159,1,0,0,0,1,0,0,0,0.26,0.8,0,2007,2,33,0,NA,NA,NA,0,29,13,1,13,NA,0
23,"2007-06-05","2007-06","1500 North Long Avenue, Chicago, IL 60651, USA",15,41.907645,-87.760886," N LONG AVE",0,0,0,3,0,0,0,0,6,64,47,21,17,48,30,1,417,1923,44,5.2,5,154,1,0,0,0,1,0,0,0,63,51,22,21,29,29,47,3,159,1,0,0,0,1,0,0,0,0.26,0.8,0,2007,2,153,0,NA,NA,NA,0,29,12,1,16,NA,0
24,"2007-06-05","2007-06","1500 West Granville Avenue, Chicago, IL 60660, USA",15,41.994469,-87.667736," W GRANVILLE AVE",0,0,1,0,0,0,0,0,6,64,47,21,17,48,30,1,417,1923,44,5.2,5,154,1,0,0,0,1,0,0,0,63,51,22,21,29,29,47,3,159,1,0,0,0,1,0,0,0,0.26,0.8,0,2007,2,149,0,NA,NA,NA,0,29,11,1,10,NA,0
25,"2007-06-05","2007-06","1500 West Webster Avenue, Chicago, IL 60614, USA",15,41.9216,-87.666455," W WEBSTER AVE",0,1,1,2,0,0,0,0,6,64,47,21,17,48,30,1,417,1923,44,5.2,5,154,1,0,0,0,1,0,0,0,63,51,22,21,29,29,47,3,159,1,0,0,0,1,0,0,0,0.26,0.8,0,2007,2,45,0,NA,NA,NA,0,29,7,1,7,NA,0
26,"2007-06-05","2007-06","1700 West 95th Street, Chicago, IL 60643, USA",17,41.720848,-87.666014," W 95TH ST",0,0,2,0,0,0,0,0,6,64,47,21,17,48,30,1,417,1923,44,5.2,5,154,1,0,0,0,1,0,0,0,63,51,22,21,29,29,47,3,159,1,0,0,0,1,0,0,0,0.26,0.8,0,2007,2,94,0,NA,NA,NA,0,29,18,1,12,NA,0
27,"2007-06-05","2007-06","1800 West Farwell Avenue, Chicago, IL 60626, USA",18,42.006858,-87.675919," W FARWELL AVE",0,0,0,2,0,0,0,0,6,64,47,21,17,48,30,1,417,1923,44,5.2,5,154,1,0,0,0,1,0,0,0,63,51,22,21,29,29,47,3,159,1,0,0,0,1,0,0,0,0.26,0.8,0,2007,2,150,0,NA,NA,NA,0,29,18,1,12,NA,0
28,"2007-06-05","2007-06","2100 North Lawler Avenue, Chicago, IL 60639, USA",21,41.918705,-87.752329," N LAWLER AVE",0,0,0,1,0,0,0,0,6,64,47,21,17,48,30,1,417,1923,44,5.2,5,154,1,0,0,0,1,0,0,0,63,51,22,21,29,29,47,3,159,1,0,0,0,1,0,0,0,0.26,0.8,0,2007,2,154,0,NA,NA,NA,0,29,10,1,9,NA,0
29,"2007-06-05","2007-06","2100 North Stave Street, Chicago, IL 60647, USA",21,41.919343,-87.694259," N STAVE ST",0,0,1,1,0,0,0,0,6,64,47,21,17,48,30,1,417,1923,44,5.2,5,154,1,0,0,0,1,0,0,0,63,51,22,21,29,29,47,3,159,1,0,0,0,1,0,0,0,0.26,0.8,0,2007,2,50,0,NA,NA,NA,0,29,10,1,9,NA,0
