"Date","ID.OB","Month_Yr","Address","Street","Block","Latitude","Longitude","Year","Month","Season_code_1","Season_code_2","Season_code_3","TrapM","CULEX_ERRATICUS","CULEX_PIPIENS","CULEX_PIPIENS_RESTUANS","CULEX_RESTUANS","CULEX_SALINARIUS","CULEX_TARSALIS","CULEX_TERRITANS","ParasiticIn.","Influenza.","WnvPresentB","Tmax2","Tmin2","Tavg2","WetBulb2","Heat2","PrecipTotal2","StnPressure2","ResultDir2","AvgSpeed2","DZ2","FG2","HZ2","RA2","RA45.2","BR2","TS2","TSRA2","VCTS2","Tmax","Tmin","Tavg","Depart","DewPoint","Heat","Cool","Sunrise","Sunset","PrecipTotal","ResultSpeed","ResultDir","AvgSpeed","BR","DZ","FG","HZ","RA","RA45","TS","TSRA","VCTS","pre45_1_2","pre45_1","pre45_05","pre45_052"
2007-05-29,1,"2007-05","1100 Roosevelt Road, Chicago, IL 60608, USA"," W ROOSEVELT",11,41.867108,-87.654224,2007,5,1,0,0,48,0,0,1,2,0,0,0,0.26,0.8,0,88,65,42,35,1,0,29.44,16,7.4,0,0,1,0,13.2689506455127,1,0,0,0,88,60,39,28,58,1,10,421,1917,0,5.8,18,6.5,1,0,0,1,0,15.7722569219176,0,0,0,1,1,1,1
2007-05-29,2,"2007-05","1100 South Peoria Street, Chicago, IL 60608, USA"," S PEORIA ST",11,41.862292,-87.64886,2007,5,1,0,0,91,0,0,0,1,0,0,0,0.26,0.8,0,88,65,42,35,1,0,29.44,16,7.4,0,0,1,0,13.2689506455127,1,0,0,0,88,60,39,28,58,1,10,421,1917,0,5.8,18,6.5,1,0,0,1,0,15.7722569219176,0,0,0,1,1,1,1
2007-05-29,3,"2007-05","1100 West Chicago Avenue, Chicago, IL 60642, USA"," W CHICAGO",11,41.896282,-87.655232,2007,5,1,0,0,49,0,0,0,1,0,0,0,0.26,0.8,0,88,65,42,35,1,0,29.44,16,7.4,0,0,1,0,13.2689506455127,1,0,0,0,88,60,39,28,58,1,10,421,1917,0,5.8,18,6.5,1,0,0,1,0,15.7722569219176,0,0,0,1,1,1,1
2007-05-29,4,"2007-05","1500 North Long Avenue, Chicago, IL 60651, USA"," N LONG AVE",15,41.907645,-87.760886,2007,5,1,0,0,153,0,0,0,1,0,0,0,0.26,0.8,0,88,65,42,35,1,0,29.44,16,7.4,0,0,1,0,13.2689506455127,1,0,0,0,88,60,39,28,58,1,10,421,1917,0,5.8,18,6.5,1,0,0,1,0,15.7722569219176,0,0,0,1,1,1,1
2007-05-29,5,"2007-05","1500 West Webster Avenue, Chicago, IL 60614, USA"," W WEBSTER AVE",15,41.9216,-87.666455,2007,5,1,0,0,45,0,0,0,2,0,0,0,0.26,0.8,0,88,65,42,35,1,0,29.44,16,7.4,0,0,1,0,13.2689506455127,1,0,0,0,88,60,39,28,58,1,10,421,1917,0,5.8,18,6.5,1,0,0,1,0,15.7722569219176,0,0,0,1,1,1,1
2007-05-29,6,"2007-05","1700 West 95th Street, Chicago, IL 60643, USA"," W 95TH ST",17,41.720848,-87.666014,2007,5,1,0,0,94,0,0,0,3,0,0,0,0.26,0.8,0,88,65,42,35,1,0,29.44,16,7.4,0,0,1,0,13.2689506455127,1,0,0,0,88,60,39,28,58,1,10,421,1917,0,5.8,18,6.5,1,0,0,1,0,15.7722569219176,0,0,0,1,1,1,1
2007-05-29,7,"2007-05","2100 North Stave Street, Chicago, IL 60647, USA"," N STAVE ST",21,41.919343,-87.694259,2007,5,1,0,0,50,0,0,1,0,0,0,0,0.26,0.8,0,88,65,42,35,1,0,29.44,16,7.4,0,0,1,0,13.2689506455127,1,0,0,0,88,60,39,28,58,1,10,421,1917,0,5.8,18,6.5,1,0,0,1,0,15.7722569219176,0,0,0,1,1,1,1
2007-05-29,8,"2007-05","2200 North Cannon Drive, Chicago, IL 60614, USA"," N CANNON DR",22,41.921965,-87.632085,2007,5,1,0,0,54,0,0,2,3,0,0,0,0.26,0.8,0,88,65,42,35,1,0,29.44,16,7.4,0,0,1,0,13.2689506455127,1,0,0,0,88,60,39,28,58,1,10,421,1917,0,5.8,18,6.5,1,0,0,1,0,15.7722569219176,0,0,0,1,1,1,1
2007-05-29,9,"2007-05","2200 West 113th Street, Chicago, IL 60643, USA"," W 113TH ST",22,41.688324,-87.676709,2007,5,1,0,0,86,0,0,1,1,0,0,0,0.26,0.8,0,88,65,42,35,1,0,29.44,16,7.4,0,0,1,0,13.2689506455127,1,0,0,0,88,60,39,28,58,1,10,421,1917,0,5.8,18,6.5,1,0,0,1,0,15.7722569219176,0,0,0,1,1,1,1
2007-05-29,10,"2007-05","2200 West 89th Street, Chicago, IL 60643, USA"," W 89TH ST",22,41.731922,-87.677512,2007,5,1,0,0,96,0,1,0,5,0,0,0,0.26,0.8,0,88,65,42,35,1,0,29.44,16,7.4,0,0,1,0,13.2689506455127,1,0,0,0,88,60,39,28,58,1,10,421,1917,0,5.8,18,6.5,1,0,0,1,0,15.7722569219176,0,0,0,1,1,1,1
