"ID","Date","Month_Yr","Address","Block","Latitude","Longitude","Street","CULEX_ERRATICUS","CULEX_PIPIENS","CULEX_PIPIENS_RESTUANS","CULEX_RESTUANS","CULEX_SALINARIUS","CULEX_TARSALIS","CULEX_TERRITANS","Month","Tmax","Tmin","Tavg","Depart","DewPoint","Heat","Cool","Sunrise","Sunset","PrecipTotal","ResultSpeed","ResultDir","AvgSpeed","BR","DZ","FG","HZ","RA","TS","TSRA","VCTS","Tmax2","Tmin2","Tavg2","WetBulb2","Heat2","StnPressure2","ResultDir2","AvgSpeed2","BR2","DZ2","FG2","HZ2","RA2","TS2","TSRA2","VCTS2","ParasiticIn.","Influenza.","Spray","Year","TrapM","Snow_Fall","WnvPresentB","PrecipTotal2i","RA45i","PT45_gt50i","RA45_2i","PT45_gt50_2i","Season_code_1","Season_code_2","Season_code_3"
1,"2007-05-29","2007-05","1100 Roosevelt Road, Chicago, IL 60608, USA",11,41.867108,-87.654224," W ROOSEVELT",0,0,1,2,0,0,0,5,88,60,39,28,58,1,10,421,1917,2,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,35,1,75,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,48,0,0,2,13,0,11,0,1,0,0
2,"2007-05-29","2007-05","1100 South Peoria Street, Chicago, IL 60608, USA",11,41.862292,-87.64886," S PEORIA ST",0,0,0,1,0,0,0,5,88,60,39,28,58,1,10,421,1917,2,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,35,1,75,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,91,0,0,2,19,1,13,0,1,0,0
3,"2007-05-29","2007-05","1100 West Chicago Avenue, Chicago, IL 60642, USA",11,41.896282,-87.655232," W CHICAGO",0,0,0,1,0,0,0,5,88,60,39,28,58,1,10,421,1917,2,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,35,1,75,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,49,0,0,2,11,0,10,0,1,0,0
4,"2007-05-29","2007-05","1500 North Long Avenue, Chicago, IL 60651, USA",15,41.907645,-87.760886," N LONG AVE",0,0,0,1,0,0,0,5,88,60,39,28,58,1,10,421,1917,2,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,35,1,75,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,153,0,0,2,12,0,12,0,1,0,0
5,"2007-05-29","2007-05","1500 West Webster Avenue, Chicago, IL 60614, USA",15,41.9216,-87.666455," W WEBSTER AVE",0,0,0,2,0,0,0,5,88,60,39,28,58,1,10,421,1917,2,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,35,1,75,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,45,0,0,2,17,0,17,0,1,0,0
6,"2007-05-29","2007-05","1700 West 95th Street, Chicago, IL 60643, USA",17,41.720848,-87.666014," W 95TH ST",0,0,0,3,0,0,0,5,88,60,39,28,58,1,10,421,1917,2,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,35,1,75,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,94,0,0,2,12,0,9,1,1,0,0
7,"2007-05-29","2007-05","2100 North Stave Street, Chicago, IL 60647, USA",21,41.919343,-87.694259," N STAVE ST",0,0,1,0,0,0,0,5,88,60,39,28,58,1,10,421,1917,2,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,35,1,75,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,50,0,0,2,11,1,9,0,1,0,0
8,"2007-05-29","2007-05","2200 North Cannon Drive, Chicago, IL 60614, USA",22,41.921965,-87.632085," N CANNON DR",0,0,2,3,0,0,0,5,88,60,39,28,58,1,10,421,1917,2,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,35,1,75,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,54,0,0,2,7,1,7,0,1,0,0
9,"2007-05-29","2007-05","2200 West 113th Street, Chicago, IL 60643, USA",22,41.688324,-87.676709," W 113TH ST",0,0,1,1,0,0,0,5,88,60,39,28,58,1,10,421,1917,2,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,35,1,75,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,86,0,0,2,11,1,9,0,1,0,0
10,"2007-05-29","2007-05","2200 West 89th Street, Chicago, IL 60643, USA",22,41.731922,-87.677512," W 89TH ST",0,1,0,5,0,0,0,5,88,60,39,28,58,1,10,421,1917,2,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,35,1,75,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,96,0,0,2,12,1,13,0,1,0,0
11,"2007-05-29","2007-05","2500 West Grand Avenue, Chicago, IL 60654, USA",25,41.891118,-87.654491," W GRAND AVE",0,0,0,1,0,0,0,5,88,60,39,28,58,1,10,421,1917,2,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,35,1,75,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,46,0,0,2,11,1,11,0,1,0,0
12,"2007-05-29","2007-05","4100 North Oak Park Avenue, Chicago, IL 60634, USA",41,41.95469,-87.800991," N OAK PARK AVE",0,0,1,1,0,0,0,5,88,60,39,28,58,1,10,421,1917,2,5.8,18,143,1,0,0,1,0,0,0,0,88,65,42,35,1,75,16,152,1,0,0,1,0,0,0,0,0.26,0.8,0,2007,2,0,0,2,16,0,12,1,1,0,0
